"keys","en"
"Entonces la bruja tiene razón. No estamos persiguiendo a un monstruo.","So the witch is right. We're not chasing a monster."
"Estamos persiguiendo a gente.","We're chasing people."
"Siento una energía oscura por aquí... ¿qué buscan?","I sense a dark energy around here... what are you looking for?"
"¡Ese símbolo... lo conozco!","That symbol... I know it!"
"Pero está incompleto. Si encuentran otra parte más, tráiganmela.","But it's incomplete. If you find another piece, bring it to me."
"Quizas este conectado con todo lo que esta pasando.","It may be connected to everything that's happening."
"El símbolo aún está incompleto. Busquen el otro fragmento.","The symbol is still incomplete. Find the other fragment."
"¡Las dos piezas! Déjenmelas, déjenmelas...","Both pieces! Give them to me, give them to me..."
"Calzan. Es un sello muy raro, Mezcla muchas cosas, sin duda.","They fit. It's a very strange seal. It mixes many things, no doubt about it."
"Esto es obra de los ocultistas. Ellos corrompieron a los mineros.","This is the work of the occultists. They corrupted the miners."
"Ellos soltaron al chupacabras. Ellos mandaron a los cazadores tras el Yastay.","They set the chupacabras loose. They sent the hunters after the Yastay."
"Todo lo que vieron hasta ahora, lleva su firma.","Everything you've seen so far bears their signature."
"¿Y qué es lo que quieren?","And what is it they want?"
"Creo que estan aqui por los avistamientos de seres miticos. Y les llevan varios pasos de ventaja.","I think they're here because of the sightings of mythical creatures. And they're several steps ahead of you."
"El talismán ya está entero. La cumbre los espera.","The talisman is whole now. The summit awaits you."
"¿Tienen alguna otra pregunta?","Do you have any other questions?"
"Vimos a un fantasma en la mina. ¿Tienes alguna información de ella?","We saw a ghost in the mine. Do you know anything about her?"
"¿Un fantasma en la mina? ¿Cómo era?","A ghost in the mine? What did she look like?"
"Era una mujer muy alta y volaba. Nos gritó cuando nos vio.","She was a very tall woman, and she was flying. She screamed at us when she saw us."
"Creo que pudo ser La Lola… Es una leyenda minera del norte. Dicen que fue una mujer marcada por una tragedia amorosa y que, después de morir, su espíritu quedó vagando cerca de minas y caminos del desierto.","I think it may have been La Lola... She's a mining legend of the north. They say she was a woman marked by a tragic love and that, after she died, her spirit was left wandering near the mines and desert roads."
"Algunos aseguran que aparece de noche para atraer o desorientar a los viajeros.","Some claim she appears at night to lure travelers or lead them astray."
"Hay un perro gigante negro en la mina. ¿Qué crees que sea?","There's a giant black dog in the mine. What do you think it is?"
"Creo que pudo ser el Chupacabras. Es una criatura de la que se cuentan historias en distintos lugares de Chile.","I think it may have been the Chupacabras. It's a creature people tell stories about in different parts of Chile."
"Dicen que aparece de noche cerca de zonas rurales y corrales, atacando animales y dejándolos sin sangre.","They say it appears at night near farmland and pens, attacking animals and draining them of blood."
"Nadie sabe realmente cómo es, porque cada persona que asegura haberlo visto lo describe de manera distinta. Pero muchos dicen que es un canino negro, con cola larga y patas gigantes.","Nobody really knows what it looks like, because everyone who claims to have seen it describes it differently. But many say it's a black canine, with a long tail and enormous legs."
"Vimos a unos mineros con los ojos blancos que nos atacaron. ¿Sabes algo de eso?","We saw some miners with white eyes who attacked us. Do you know anything about that?"
"Esos mineros no siempre fueron así. Desde que aparecieron esos símbolos extraños en las galerías comenzaron a ponerse violentos, desconfiados y obsesionados con el mineral.","Those miners weren't always like that. Ever since those strange symbols appeared in the tunnels, they've grown violent, suspicious, and obsessed with the ore."
"Algunos creen que algo los está contaminando. Si logran derrotarlos sin destruir aquello que queda de ellos… puede que vuelvan en sí.","Some believe something is contaminating them. If you manage to defeat them without destroying what's left of them... they may come back to their senses."
"No, gracias.","No, thank you."
"Alto.","Halt."
"Han demostrado que no son como esos cazadores.","You have shown you are not like those hunters."
"Recuperaste a un guanaco de mi rebaño, y al parecer quiere ser tu amigo.","You brought back a guanaco from my herd, and it seems it wants to be your friend."
"Puedes llevarlo contigo, arquero. Que te guarde el camino.","You may take it with you, archer. May it keep you on the road."
"Gracias, Yastay.","Thank you, Yastay."
"Esperá... este cazador llevaba algo escondido.","Wait... this hunter was hiding something."
"Es igual a la que sacamos de la mina. Deberíamos llevársela.","It's just like the one we took from the mine. We should bring it to her."
"Acá está la segunda pieza, la que necesita la Bruja.","Here's the second piece, the one the Witch needs."
"Creo que sé lo que debemos hacer. No lo ataques, pero atrae su atención, Emilia.","I think I know what we have to do. Don't attack it, but draw its attention, Emilia."
"Está bien, intentaré atraer su atención.","All right, I'll try to draw its attention."
"¡Me está costando esquivarlo! ¿Cómo vas, Benja?","I'm having a hard time dodging it! How are you doing, Benja?"
"¡Aguanta, Emi, ya casi estoy listo!","Hang on, Emi, I'm almost done!"
"¡No lo puedo creer! Primero La Tirana en persona, ahora un fantasma… ¡y hasta un perro gigante demoníaco!","I can't believe it! First La Tirana in person, now a ghost... and even a giant demonic dog!"
"Yo tampoco. Este viaje está cada vez más raro. ¿A ti qué se te ocurre salir a mochilear?","Me neither. This trip keeps getting stranger. What made you think of going backpacking?"
"Esto nunca estuvo en el plan. ¡Aún tengo la piel de gallina!","This was never part of the plan. I still have goosebumps!"
"Creo que veo una persona gigante al final.","I think I see a giant person at the far end."
"No sé si sea una persona, Emi. Parece una roca parada.","I'm not sure it's a person, Emi. It looks like a standing rock."
"Creo que debemos separarnos.","I think we should split up."
"¡Está bien! Entonces yo iré por la derecha.","All right! Then I'll go right."
"Bueno, ahora sabemos que eso que se ve al final no es una persona.","Well, now we know that thing at the far end isn't a person."
"Sí, debe ser otro guardián. Tendremos que superar esto de la misma forma.","Yes, it must be another guardian. We'll have to get through this the same way."
"Pero no veo un camino. No podemos saltar hasta el otro lado.","But I don't see a path. We can't jump to the other side."
"Quizás yo sí pueda, con mis alas.","Maybe I can, with my wings."
"¿Me vas a dejar atrás?","Are you going to leave me behind?"
"Noo, era broma. Mira ese símbolo de guanaco en el suelo. Quizás tú debas hacer algo.","Nooo, just kidding. Look at that guanaco symbol on the ground. Maybe you have to do something."
"¡Lo intentaré!","I'll try!"
"¡Viva La Tirana!","Long live La Tirana!"
"¡La danza es sagrada! ♪","The dance is sacred! ♪"
"¡Este año vendrá!","This year she'll come!"
"¡Aymaraes y fiesta!","Aymara and fiesta!"
"¡Que viva el norte! 🎉","Long live the north! 🎉"
"¿Primera vez en La Tirana? Entonces fíjense bien en los bailes. Aquí no se viene solo a bailar por bailar. Muchas agrupaciones llevan años participando y cada danza es una forma de agradecer, cumplir una promesa o demostrar su devoción a la Virgen del Carmen.","First time in La Tirana? Then pay close attention to the dances. Nobody comes here just to dance for the sake of it. Many troupes have taken part for years, and every dance is a way of giving thanks, keeping a promise, or showing devotion to the Virgin of Carmen."
"Entonces todo ese esfuerzo… ¿también es parte de la ofrenda?","So all that effort... is it part of the offering too?"
"Exactamente. Por eso verán trajes, máscaras y coreografías muy distintas entre una agrupación y otra.","Exactly. That's why you'll see very different costumes, masks, and choreographies from one troupe to the next."
"Se nota que algunos llevan muchísimo tiempo preparando esto.","You can tell some of them have spent a very long time preparing this."
"Y hablando de cosas que llaman la atención… corre un rumor bastante extraño este año. Dicen que La Tirana está caminando entre la gente.","And speaking of things that catch the eye... there's a rather strange rumor going around this year. They say La Tirana is walking among the people."
"¿La Tirana? ¿La de la leyenda?","La Tirana? The one from the legend?"
"Eso dicen. No sé si creerlo, pero escuché que quienes aseguran haberla visto coinciden en algo: tiene el pelo castaño.","So they say. I don't know whether to believe it, but I heard that those who claim to have seen her agree on one thing: she has brown hair."
"Toda esta fiesta gira alrededor de la Virgen del Carmen. Hay personas que llegan desde muy lejos para agradecerle, pedir su protección o cumplir una manda que hicieron hace años.","This whole festival revolves around the Virgin of Carmen. People come from very far away to thank her, ask for her protection, or fulfill a vow they made years ago."
"¿Una manda?","A vow?"
"Una promesa. Algunos peregrinan, otros bailan durante años con una agrupación y otros vienen cada julio sin falta. Para muchas familias, regresar a La Tirana es una tradición que pasa de generación en generación.","A promise. Some make a pilgrimage, others dance with a troupe for years, and others come every July without fail. For many families, returning to La Tirana is a tradition passed down from generation to generation."
"Ahora entiendo por qué viene tanta gente.","Now I understand why so many people come."
"Sí… aunque este año todos hablan de algo más que de la fiesta.","Yes... although this year everyone is talking about something besides the festival."
"¿También escuchó el rumor?","Did you hear the rumor too?"
"Claro. Dicen que La Tirana apareció entre los peregrinos. Una conocida jura que la vio pasar esta mañana.","Of course. They say La Tirana appeared among the pilgrims. A friend of mine swears she saw her walk by this morning."
"¿Y cómo era?","And what was she like?"
"Solo alcanzó a decirme una cosa: era una mujer alta.","She only managed to tell me one thing: she was a tall woman."
"Si quieren encontrar el corazón de la fiesta, sigan el sonido. Trompetas, trombones, bombos, cajas, platillos… las bandas acompañan a los bailes prácticamente durante toda la celebración.","If you want to find the heart of the festival, follow the sound. Trumpets, trombones, bass drums, snares, cymbals... the bands accompany the dances for practically the whole celebration."
"Debe ser agotador tocar durante tantas horas.","It must be exhausting to play for so many hours."
"Lo es. Pero cuando una agrupación entra bailando y toda la calle comienza a vibrar con los bombos, se te olvida el cansancio.","It is. But when a troupe comes in dancing and the whole street starts to shake with the drums, you forget the tiredness."
"Con tanta música cuesta hasta saber de dónde viene cada cosa.","With so much music it's hard to even tell where each sound is coming from."
"Entonces quizás tampoco escucharon el comentario que está corriendo entre los músicos.","Then maybe you haven't heard the talk going around among the musicians either."
"Déjame adivinar… La Tirana.","Let me guess... La Tirana."
"Así es. Hay quienes dicen que vino a su propia fiesta escondida entre los bailarines.","That's right. Some say she came to her own festival, hidden among the dancers."
"¿Alguien logró reconocerla?","Did anyone manage to recognize her?"
"No exactamente. Pero yo les digo algo: nunca había visto un traje tan bien hecho como el de la mujer que estaba bailando en el centro de la plaza. Si están buscando a alguien extraño… yo empezaría por ahí.","Not exactly. But I'll tell you something: I had never seen a costume as well made as the one on the woman dancing in the middle of the square. If you're looking for someone unusual... I'd start there."
"Este pueblo guarda historias mucho más antiguas que cualquiera de nosotros. Hasta su nombre está ligado a la leyenda de una mujer a la que llamaron La Tirana del Tamarugal.","This town holds stories far older than any of us. Even its name is tied to the legend of a woman they called La Tirana of the Tamarugal."
"La princesa que vivía escondida en estas tierras…","The princess who lived hidden in these lands..."
"Eso cuenta la tradición. Con los años, historia, religión y leyenda terminaron mezclándose aquí. Por eso durante estas fechas nunca faltan cuentos sobre cosas que aparecen en el desierto.","So the tradition goes. Over the years, history, religion, and legend ended up blending together here. That's why, around this time, there's never a shortage of tales about things that appear in the desert."
"Y este año parece que hay uno bastante específico.","And this year there seems to be a rather specific one."
"Je… así que también lo escucharon.","Heh... so you've heard it too."
"Dicen que La Tirana está aquí.","They say La Tirana is here."
"Algunos incluso aseguran haber hablado con ella sin darse cuenta.","Some even claim to have spoken with her without realizing it."
"¿Hay alguna forma de reconocerla?","Is there any way to recognize her?"
"Hay una última cosa que se repite en todas las historias. Dicen que La Tirana tiene los ojos de un color muy especial.","There's one last thing that comes up in every story. They say La Tirana's eyes are a very special color."
"¿Qué color?","What color?"
"Eso tendrán que descubrirlo ustedes.","That's for you to find out."
"Habla con Carmen, la guía del museo","Talk to Carmen, the museum guide"
"Habla con las 4 personas del pueblo","Talk to the 4 townspeople"
"Busca a la verdadera Tirana","Find the real Tirana"
"Busca la mina cerca del poblado","Find the mine near the village"
"Activa ambos obeliscos","Activate both obelisks"
"Investiga el final de la mina","Explore the end of the mine"
"Entrega el talismán a la bruja del poblado","Bring the talisman to the village witch"
"Sube a la cima del Isluga","Climb to the top of Isluga"
"Activa el volcán","Activate the volcano"
"Ve al terminal de buses","Go to the bus terminal"
"Viaja a Atacama","Travel to Atacama"
"Busca al Alicanto","Find the Alicanto"
"Elige tu camino","Choose your path"
"Elige BIEN tu camino","Choose your path WISELY"
"Escucha los rumores en el bar","Listen to the rumors at the bar"
"Busca al Yastay","Find the Yastay"
"Ayuda a los 4 guanacos","Help the 4 guanacos"
"Revisa a los 4 cazadores inconscientes","Check the 4 unconscious hunters"
"Lleva los dos talismanes a la bruja","Take both talismans to the witch"
"Sube a la cima del volcán Ojos del Salado","Climb to the summit of Ojos del Salado"
"Viaja por los volcanes hacia el Isluga","Travel through the volcanoes to Isluga"
"Vuelve a la mina","Return to the mine"
"Derrota al Chupacabras","Defeat the Chupacabras"
"Misiones","Missions"
"Investigador Cultural","Cultural Investigator"
"Descubrir a la Tirana y aprender el combo de 4 golpes y el disparo triple","Discover La Tirana and learn the 4-hit combo and the triple shot"
"El Correcaminos","The Roadrunner"
"Salir de la mina después de ver al Chupacabras","Escape the mine after seeing the Chupacabras"
"Investigador del Misterio","Mystery Investigator"
"Llevarle a la bruja el primer fragmento","Bring the witch the first fragment"
"Activador de Volcanes","Volcano Activator"
"Hablar con el guardián del Isluga","Talk to the guardian of Isluga"
"El Primer Humano Volador","The First Flying Human"
"Rescatar al Alicanto","Rescue the Alicanto"
"El Sanador","The Healer"
"Superar al Yastay","Overcome the Yastay"
"Ocultistas","Occultists"
"Llevarle a la bruja el segundo fragmento","Bring the witch the second fragment"
"Viajero Volcánico","Volcanic Traveler"
"Llegar a la cima del Ojos del Salado","Reach the summit of Ojos del Salado"
"Adiestrador de Chupacabras","Chupacabras Tamer"
"Vencer al Chupacabras","Defeat the Chupacabras"
"Primer","First"
"Segundo","Second"
"Tercer","Third"
"Cuarto","Fourth"
"Quinto","Fifth"
"Sexto","Sixth"
"Séptimo","Seventh"
"Octavo","Eighth"
"Noveno","Ninth"
"Nuevo","New"
"%s logro: %s","%s achievement: %s"
"PROTOTIPO SUPERADO","PROTOTYPE COMPLETED"
"%d de %d logros","%d of %d achievements"
"Volver al título","Back to title"
"Quebrada del Alicanto. El camino se bifurca más adelante.","Alicanto Ravine. The path forks up ahead."
"¡Alguien herido!","Someone's hurt!"
"Izquierda: el oro. Derecha: la persona herida.","Left: the gold. Right: the injured person."
"El oro brilla... y el suelo empieza a ceder.","The gold gleams... and the ground starts to give way."
"Al fondo de la quebrada se enciende una luz.","A light comes on at the bottom of the ravine."
"Algo bajó al final del camino de la derecha.","Something came down at the end of the right-hand path."
"Emilia recibe las ALAS: doble salto y planeo (mantené Espacio al caer).","Emilia receives the WINGS: double jump and glide (hold Space while falling)."
"Emilia: [Espacio] doble salto · mantené [Espacio] al caer para planear · volvé al poblado","Emilia: [Space] double jump · hold [Space] while falling to glide · return to the village"
"¡Mineros corruptos en la mina!","Corrupted miners in the mine!"
"Sector despejado… hay algo más abajo.","Sector cleared... there's something further down."
"El Chupacabras todavía no da la cara. Te falta: %s","The Chupacabras still won't show itself. You're missing: %s"
"El Chupacabras ya no huye. Esta vez te espera.","The Chupacabras no longer runs. This time it waits for you."
"El Chupacabras cae. Vilu vuelve a respirar.","The Chupacabras falls. Vilu breathes again."
"¡HUYE!","RUN!"
"¡El Chupacabras te alcanzó!","The Chupacabras caught you!"
"El Chupacabras se esconde en las sombras… La salida está cerca.","The Chupacabras hides in the shadows... The exit is close."
"Flecha triple: habla con La Tirana","Triple arrow: talk to La Tirana"
"Sin energía para la flecha triple","No energy for the triple arrow"
"Poblado. Mostrale el talismán a la Bruja (casa del oeste). El camino al norte sube al Isluga.","Village. Show the talisman to the Witch (west house). The road north climbs to Isluga."
"Poblado. En el bar están hablando de algo. Acercate a escuchar.","Village. They're talking about something at the bar. Get closer to listen."
"Poblado. Llevale la segunda pieza a la Bruja.","Village. Take the second piece to the Witch."
"La que estaba sentada en el bar lo oyó todo.","The woman sitting at the bar heard everything."
"La ocultista se fue del bar. En la mina te espera lo que empezó todo.","The occultist left the bar. What started it all awaits you in the mine."
"Camino al norte, hacia la quebrada del Yastay.","Road north, toward the Yastay ravine."
"Los cazadores quieren atrapar al Yastay en la pampa alta.","The hunters want to trap the Yastay on the high plain."
"Tomá el camino del ESTE, hacia la quebrada del Yastay.","Take the EAST road, toward the Yastay ravine."
"Los cazadores atacan al Yastay y sus guanacos…","The hunters attack the Yastay and its guanacos..."
"¡Alguien los estaba dirigiendo desde atrás… y está huyendo!","Someone was directing them from behind... and is fleeing!"
"Cuerpos revisados: %d/%d","Bodies checked: %d/%d"
"Llevá el talismán a la Bruja en el poblado.","Take the talisman to the Witch in the village."
"Emilia distrae al Yastay. Benjamín: sana a los guanacos heridos.","Emilia distracts the Yastay. Benjamín: heal the wounded guanacos."
"Emilia entretiene al Yastay. Benjamín: acércate a los guanacos heridos.","Emilia keeps the Yastay busy. Benjamín: get to the wounded guanacos."
"¡El Yastay va a pisar! ¡Salí de ahí!","The Yastay is about to stomp! Get out of there!"
"Sólo Benjamín puede sanar al guanaco. Cambiá con [T].","Only Benjamín can heal the guanaco. Switch with [T]."
"Guanacos sanados: %d/%d","Guanacos healed: %d/%d"
"Los guanacos se recuperan. El Yastay asiente…","The guanacos recover. The Yastay nods..."
"Bendición del Guanaco obtenida. El paso al volcán está abierto.","Guanaco Blessing obtained. The way to the volcano is open."
"[Q] invocar/montar/guardar guanaco · [G] embestir · [E] revisar los cuerpos · portal al norte","[Q] summon/mount/dismiss guanaco · [G] charge · [E] check the bodies · portal to the north"
"Te falta: %s — consíguelo antes de seguir","You're missing: %s — get it before going on"
"Cumbre: cruzá el puente con el guanaco. Benjamín le dispara al bloque para soltar la plataforma y se sube; los interruptores de embestida la hacen doblar. Al final, LOS DOS sobre la última pasarela abren la corriente: Emilia sube (Espacio) y le tira la cuerda a Benjamín (E).","Summit: cross the bridge with the guanaco. Benjamín shoots the block to release the platform and climbs on; the charge switches make it turn. At the end, BOTH on the last walkway open the updraft: Emilia rises (Space) and throws the rope to Benjamín (E)."
"Esa pasarela no aguanta. Volvés a la bifurcación.","That walkway won't hold. Back to the fork."
"Esa pasarela no aguanta. Volvés al principio.","That walkway won't hold. Back to the start."
"¡Cima de VILU alcanzada por los dos!","VILU's summit reached by both!"
"La plataforma quedó suelta. Subite y aguantá un momento.","The platform is loose. Climb on and hold on a moment."
"Algo se destrabó: la plataforma cambia de dirección.","Something came loose: the platform changes direction."
"Sujetate.","Hold on."
"Los dos en la pasarela: se abrió la corriente. Emilia sube (Espacio).","Both on the walkway: the updraft opened. Emilia rises (Space)."
"Isluga (cooperativo): subí por TU plataforma. Activá tu obelisco con [E] para poner en marcha el ascensor del OTRO. Arriba los espera el guardián.","Isluga (co-op): go up YOUR platform. Activate your obelisk with [E] to start the OTHER one's lift. The guardian awaits you at the top."
"¡Ascensor activado para tu compañero!","Lift activated for your partner!"
"¡Desafío de Isluga superado! El paso al norte se abre.","Isluga challenge completed! The way north opens."
"Recuerda presionar [T] para resolver el puzzle por separado","Remember to press [T] to solve the puzzle separately"
"Pulsá [T] para dejar al otro quieto y que cada uno siga su camino. Volvé a pulsarla para que te siga.","Press [T] to leave the other one standing still so each of you goes their own way. Press it again to have them follow you."
"El obelisco se enciende y la barrera cede","The obelisk lights up and the barrier gives way"
"Los tablones tapan el obelisco. Rompelos primero.","The planks block the obelisk. Break them first."
"El camino se abre","The path opens"
"El camino se corta.
Emilia puede planear: saltá y mantené [Espacio]","The path is cut off.
Emilia can glide: jump and hold [Space]"
"El paso quedó libre.","The way is clear."
"El botón cede al golpe del guanaco.","The button gives way under the guanaco's charge."
"Le diste al bloque: algo cedió más adelante.","You hit the block: something gave way up ahead."
"Le diste al bloque: el paso se despeja.","You hit the block: the way clears."
"Le diste al bloque: la plataforma ya responde.","You hit the block: the platform responds now."
"¡La plataforma cede!","The platform gives way!"
"¡El brujo huye!","The sorcerer flees!"
"¡La ocultista se va!","The occultist is leaving!"
"¡Sana al guanaco!","Heal the guanaco!"
"¡Guanaco embiste! [","Guanaco charges! ["
"s de recarga]","s cooldown]"
"Caíste — volvés al último punto seguro","You fell — back to the last safe point"
"¡La lava quema! Volvés al punto seguro","The lava burns! Back to the safe point"
"Guanaco invocado · [Q] montar · [G] embestir","Guanaco summoned · [Q] mount · [G] charge"
"[E] Hablar","[E] Talk"
"[E] Activar","[E] Activate"
"[E] Activar el obelisco","[E] Activate the obelisk"
"[E] Ayudar a la herida","[E] Help the injured woman"
"[E] Entrar a la Mina","[E] Enter the Mine"
"[E] Escuchar la conversación","[E] Listen to the conversation"
"[E] Hablar con el Guardián","[E] Talk to the Guardian"
"[E] Hablar con la Bruja","[E] Talk to the Witch"
"[E] Revisar cuerpo","[E] Check body"
"[E] Sanar al guanaco","[E] Heal the guanaco"
"[E] Subir por la cuerda","[E] Climb the rope"
"[E] Viajar a %s","[E] Travel to %s"
"[E] Viajar","[E] Travel"
"[E] Interactuar","[E] Interact"
"la otra región","the other region"
"[clic para viajar]","[click to travel]"
"Vida %d/%d","Health %d/%d"
"Energía %d/%d","Energy %d/%d"
"Arco","Bow"
"Alas","Wings"
"Guanaco","Guanaco"
"[R] cambiar (IA) · [T] cambiar (queda quieto)","[R] switch (AI) · [T] switch (stays put)"
"[Q] invocar · [C] montar · [G] embestir","[Q] summon · [C] mount · [G] charge"
"Nueva partida","New game"
"Continuar","Continue"
"Opciones","Options"
"Créditos","Credits"
"Seleccionar zona","Select zone"
"Cargar partida","Load game"
"Salir","Quit"
"Volver","Back"
"Volver al menú","Back to menu"
"Reiniciar","Restart"
"PAUSA","PAUSE"
"SELECCIONAR ZONA","SELECT ZONE"
"Cada zona te deja el progreso anterior ya hecho: logros y habilidades.","Each zone leaves the previous progress done: achievements and abilities."
"Empieza de cero.","Starts from scratch."
"Logros hechos: ","Achievements done: "
"
Con: ","
With: "
"NUESTRAS RAÍCES","OUR ROOTS"
"TAMBIÉN SON FUTURO","ARE ALSO OUR FUTURE"
"1 La Tirana","1 La Tirana"
"2 Mina","2 Mine"
"3 Bruja/talismán 1","3 Witch/talisman 1"
"4 Isluga","4 Isluga"
"5 Alicanto","5 Alicanto"
"6 Poblado/Bar","6 Village/Bar"
"7 Yastay","7 Yastay"
"8 Bruja/talismán 2","8 Witch/talisman 2"
"9 Ojos del Salado","9 Ojos del Salado"
"10 Vuelta a la mina","10 Back to the mine"
"11 Chupacabras","11 Chupacabras"
"Tarapacá","Tarapacá"
"Atacama","Atacama"
"EMILIA","EMILIA"
"BENJAMÍN","BENJAMÍN"
"LOS DOS","BOTH"
"Combo de 4 golpes","4-hit combo"
"Golpe cargado (mantener)","Charged strike (hold)"
"Doble salto","Double jump"
"Planear (mantener)","Glide (hold)"
"Disparo rápido","Quick shot"
"Disparo cargado (mantener)","Charged shot (hold)"
"Flecha triple","Triple arrow"
"Guanaco: invocar","Guanaco: summon"
"Guanaco: montar","Guanaco: mount"
"Guanaco: embestir","Guanaco: charge"
"Moverse / correr","Move / run"
"Saltar","Jump"
"Rodar","Roll"
"Hablar / usar","Talk / use"
"Cambiar (te sigue)","Switch (follows you)"
"Cambiar (anclado)","Switch (anchored)"
"Cambiar (se queda)","Switch (stays put)"
"Moverse","Move"
"Mirar alrededor","Look around"
"Correr","Run"
"Saltar / planear","Jump / glide"
"Atacar / tensar","Attack / draw"
"Guanaco (invocar)","Guanaco (summon)"
"Guanaco (montar)","Guanaco (mount)"
"Embestida","Charge"
"Pausa","Pause"
"Mover el ratón","Move the mouse"
